Acquisition Name,Type,Case Number,Acquirer(s),Target(s) / Vendor(s),M&A Sector,Other Parties,Notification / Application Date,Stage,Acquisition Status,End of Determination Period,Determination Period Calendar Days (ACT),Determination Period Business Days (ACT),Elapsed Calendar Days to Decision,Elapsed Business Days to Decision (ACT),ACCC Determination,Determination Publication Date,ANZSIC Code(s),URL,Decisions and Key Events,Consultation Text,Questionnaire,Consultation Documents,ACCC Page Last Modified,Last Scraped (UTC)
Summit Partners – Keyfactor,Waiver,WA-75032,"Kite Parent Holdings, LP; 10651111","KF Parent, Inc.; 7187054; Insight Venture Partners, LLC",Professional Services,"Kite Purchaser, Inc.; 10651136; Summit Partners, L.P.; 3077577",2026-06-29,Waiver application,Assessment completed,,,,17,14,Approved,2026-07-16,7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/summit-partners-%E2%80%93-keyfactor,16 Jul 2026: Notification waiver determination published,,,,2026-07-16T17:35:59+10:00,2026-08-11T01:56:49.469233Z
Kennards Hire - Skylift Hire & Rentals,Waiver,WA-65027,KENNARDS HIRE PTY LIMITED; 69 001 740 727,SKYLIFT HIRE & RENTALS PTY LTD; 20 110 438 036,Construction and Engineering; Property and Real Estate,,2026-06-29,Waiver application,Assessment completed,,,,17,14,Approved,2026-07-16,3019 Other Residential Building Construction; 3020 Non-Residential Building Construction; 6631 Heavy Machinery and Scaffolding Rental and Hiring,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/kennards-hire-skylift-hire-rentals,16 Jul 2026: Notification waiver determination published,,,,2026-07-16T17:33:11+10:00,2026-08-11T01:56:49.469233Z
Stonepeak-led consortium - Estia Health,Notification,MN-50026,Wisdom BidCo Pty Ltd; 19 696 888 730,Estia Health Holdings Ltd; 47 669 884 244,Social Assistance,Wisdom MIT; Perpetual Corporate Trust Limited as trustee for SP-Plus (Australia) Holdings 2 Trust; 99 000 341 533; Stonepeak Partners LP; 4958360; Aura Australia Holdings Pty Ltd; 41 614 139 589; Perpetual Corporate Trust Limited as trustee for Volarae Living (Australia) Holdings 2 Trust; Wisdom TopCo Pty Ltd; 696 888 552,2026-06-29,Phase 1 - initial assessment,Assessment completed,2026-08-10,42.0,31.0,23,18,Approved,2026-07-22,8601 Aged Care Residential Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/stonepeak-led-consortium-estia-health,22 Jul 2026: Stonepeak - Estia Health - Phase 1 Determination,,,,2026-07-22T16:23:06+10:00,2026-08-11T01:56:49.469233Z
Amazon – Globalstar,Notification,MN-50025,"Amazon.com, Inc.; 2620453; Grapefruit Acquisition Sub II, LLC; 10440021","Globalstar, Inc.; 3731110",Telecommunications,,2026-06-29,Phase 1 - initial assessment,Assessment completed,2026-08-10,42.0,31.0,22,17,Approved,2026-07-21,5802 Other Telecommunications Network Operation,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/amazon-%E2%80%93-globalstar,21 Jul 2026: Amazon - Globalstar - Phase 1 determination,,,,2026-07-21T13:35:41+10:00,2026-08-11T01:56:49.469233Z
Hapag-Lloyd - ZIM,Notification,MN-65022,Hapag-Lloyd Aktiengesellschaft; German company registration number - HRB97937,ZIM Integrated Shipping Services Ltd; Israeli company registration number - 520015041,Transport and Logistics,,2026-06-29,Phase 1 - initial assessment,Assessment completed,2026-08-10,42.0,31.0,22,17,Approved,2026-07-21,4810 Water Freight Transport,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/hapag-lloyd-zim,21 Jul 2026: Hapag-Lloyd - ZIM - Phase 1 determination,,,,2026-07-22T14:51:05+10:00,2026-08-11T01:56:49.469233Z
KKR - FYihealth group,Waiver,WA-01110,Frames ExchangeCo Ltd.; Canada Registry ID: 2028250336,FYi Holdings LP; Canada Business Number 745689273,Aged Care,KKR & Co. Inc.,2026-06-27,Waiver application,Assessment completed,,,,25,18,Approved,2026-07-22,8532 Optometry and Optical Dispensing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/kkr-fyihealth-group,22 Jul 2026: Notification waiver determination published,,,,2026-07-22T16:37:26+10:00,2026-08-11T01:56:49.469233Z
Sandvik – Diemme Filtration S.r.l.,Waiver,WA-65025,Sandvik SRP AB; EUID - SEBOLREG.5560130535,Aqseptence Group GmbH; EUID - DEM1906.HRB16669; Diemme Filtration S.r.l.; EUID - ITRI.02416280390,Manufacturing,SANDVIK ROCK PROCESSING AUSTRALIA PTY LIMITED; 91 073 312 437,2026-06-26,Waiver application,Assessment completed,,,,21,16,Approved,2026-07-17,2462 Mining and Construction Machinery Manufacturing; 2469 Other Specialised Machinery and Equipment Manufacturing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/sandvik-%E2%80%93-diemme-filtration-srl,17 Jul 2026: Notification waiver determination published,,,,2026-07-17T16:33:31+10:00,2026-08-11T01:56:49.469233Z
OpenAI - Ona,Notification,MN-90020,"Wave Merger Sub II, LLC; Delaware File Number - 7007085; OpenAI Group PBC; Delaware File Number - 10381551; Wave Merger Sub, Inc.; Delaware File Number - 10631976","Gitpod, Inc.; Delaware File Number - 3353320",Technology and Software,Gitpod GmbH; HRB - 22228; OpenAI Foundation; Delaware File Number - 5902936,2026-06-26,Phase 1 - initial assessment,Assessment completed,2026-08-07,42.0,31.0,25,18,Approved,2026-07-21,5420 Software Publishing; 5921 Data Processing and Web Hosting Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/openai-ona,21 Jul 2026: OpenAI-Ona - Phase 1 determination,,,,2026-07-21T13:33:29+10:00,2026-08-11T01:56:49.469233Z
WSP - Geotechnical Testing and Interpretation,Notification,MN-01107,WSP AUSTRALIA PTY LIMITED; 80 078 004 798,GEOTECHNICAL TESTING AND INTERPRETATION PTY LTD; 14 616 849 766,Professional Services,RICARDO AUSTRALIA PTY LTD; 17 625 088 646; WSP AUSTRALIA HOLDINGS PTY LTD; 90 169 545 395,2026-06-26,Phase 1 - initial assessment,Assessment completed,2026-08-07,42.0,31.0,27,20,Approved,2026-07-23,6923 Engineering Design and Engineering Consulting Services; 6925 Scientific Testing and Analysis Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/wsp-geotechnical-testing-and-interpretation,23 Jul 2026: WSP-Geotechnical Testing and Interpretation - Phase 1 determination,,,,2026-07-23T09:32:43+10:00,2026-08-11T01:56:49.469233Z
Midea - Residentia Group,Notification,MN-01106,Midea Electric Trading (Singapore) Co. Pte. Ltd.; Singapore identifying number (UEN): 200800970G,RESIDENTIA IP PTY LTD; 92 666 876 964; RESIDENTIA HOLDINGS PTY LTD; 17 618 920 059; RESIDENTIA GROUP PTY LTD; 70 600 546 656,Manufacturing; Wholesale Trade,"Midea Group Co., Ltd.; People’s Republic of China identifying number: 91440606722473344C",2026-06-26,Phase 1 - initial assessment,Assessment completed,2026-08-07,42.0,31.0,28,21,Approved,2026-07-24,2441 Whiteware Appliance Manufacturing; 2449 Other Domestic Appliance Manufacturing; 3494 Other Electrical and Electronic Goods Wholesaling,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/midea-residentia-group,24 Jul 2026: Midea - Residentia Group - Phase 1 determination,,,,2026-07-24T17:03:54+10:00,2026-08-11T01:56:49.469233Z
KKR - Crowe,Waiver,WA-90025,Forge Merger Sub LLC; 10628991 - Delaware,Crowe ParentCo LLC; 35-0921680 - Delaware,Asset Management and Investment; Professional Services,Crowe Intermediate LLC; Crowe Advisory LLC; KKR Forge Aggregator L.P.; 10628476 - Delaware; Crowe HoldCo LLC; Forge Co-Invest L.P.; 10630227 - Delaware; Crowe LLP; Findex (Aust) Pty Ltd,2026-06-25,Waiver application,Assessment completed,,,,20,15,Approved,2026-07-15,6240 Financial Asset Investing; 6932 Accounting Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/kkr-crowe,15 Jul 2026: Notification waiver determination published,,,,2026-07-15T17:02:22+10:00,2026-08-11T01:56:49.469233Z
Accenture – Whalar Agency,Waiver,WA-20028,Accenture Inc.; Delaware registered number - 3387477,Whalar GmbH; HRB - 210859; Whalar Inc; Delaware company number - 6534128; Whalar Spain Newco S.L.; MA-195172; Mist Agency NewCo Limited; UK company number - 17145938,Asset Management and Investment; Professional Services,Accenture Australia Pty Limited; 49 096 776 895; Accenture plc; Ireland registered number - 471706,2026-06-25,Waiver application,Assessment completed,,,,18,13,Approved,2026-07-13,6240 Financial Asset Investing; 6940 Advertising Services; 6962 Management Advice and Related Consulting Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/accenture-%E2%80%93-whalar-agency,13 Jul 2026: Notification waiver determination published,,,,2026-07-13T17:36:35+10:00,2026-08-11T01:56:49.469233Z
Sika AG - Akkim,Notification,MN-40027,Sika AG; CHE-106.919.184,Akde Kimya Sanayi ve Ticaret Anonim Şirketi; Akfix Kimya Lojistik Hizmetleri Limited Şirketi; Akkim Europe SRL; Akkim Yapi Kimyasallari Sanayi ve Ticaret Anonim Şirketi,Manufacturing,,2026-06-25,Phase 1 - initial assessment,Assessment completed,2026-08-06,42.0,31.0,21,16,Approved,2026-07-16,1915 Adhesive Manufacturing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/sika-ag-akkim,16 Jul 2026: Sika AG - Akkim - Phase 1 determination,,,,2026-07-16T11:11:32+10:00,2026-08-11T01:56:49.469233Z
"National Dental Care – business assets comprising the BDF Dental clinic, Beaudesert, Queensland",Waiver,WA-15029,NDC Australia Pty Limited; 49 162 955 866,BDF Dental Pty Ltd; 13 650 907 378,Aged Care,NDC HoldCo Pty Ltd; 13 654 148 188; National Dental Care Limited; 89 160 442 071,2026-06-25,Waiver application,Assessment completed,,,,22,17,Approved,2026-07-17,8531 Dental Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/national-dental-care-%E2%80%93-business-assets-comprising-the-bdf-dental-clinic-beaudesert-queensland,17 Jul 2026: Notification waiver determination published,,,,2026-07-17T16:37:41+10:00,2026-08-11T01:56:49.469233Z
Sumitomo Mitsui Trust Bank - SMTB ANZ Debt Fund,Waiver,WA-55027,"Sumitomo Mitsui Trust Bank, Limited; Financial Institution Registration Number: No.649 Kanto Finance Bureau of the Ministry of Finance",IFM SuMi TRUST ANZ Debt Fund,Banking; Financial Advisory and Broking,"ETICORE SD PTY LTD, as trustee of the IFM SuMi TRUST ANZ Debt Fund; 94 613 933 645; IFM INVESTORS PTY LTD; 67 107 247 727",2026-06-25,Waiver application,Assessment completed,,,,21,16,Approved,2026-07-16,6230 Non-Depository Financing; 6419 Other Auxiliary Finance and Investment Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/sumitomo-mitsui-trust-bank-smtb-anz-debt-fund,16 Jul 2026: Notification waiver determination published,,,,2026-07-16T17:35:02+10:00,2026-08-11T01:56:49.469233Z
INNIO Group – Enerflex,Notification,MN-80021,INNIO Holding GmbH; HRB 305810,ENERFLEX SERVICE PTY LIMITED; 85 063 267 238,Construction and Engineering,Enerflex Ltd; 774811-6,2026-06-25,Phase 1 - initial assessment,Assessment completed,2026-08-06,42.0,31.0,,,Approved,,3299 Other Construction Services n.e.c.,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/innio-group-%E2%80%93-enerflex-0,27 Jul 2026: INNIO Group – Enerflex - Phase 1 Determination - 27 July 2026,,,,2026-07-27T14:32:51+10:00,2026-08-11T01:56:49.469233Z
AkzoNobel - Axalta,Notification,MN-50024,Akzo Nobel N.V.; Commercial registration # 09007809,Axalta Coating Systems Ltd.; Commercial registration # 46832,Manufacturing,AXALTA COATING SYSTEMS AUSTRALIA PTY LTD; 53 158 497 655; AKZO NOBEL PTY LIMITED; 59 000 119 424; U-POL AUSTRALIA PTY LTD; 12 633 592 819; REFINISH IMPORTS PTY LIMITED; 15 626 896 142,2026-06-24,Phase 1 - initial assessment,Assessment completed,2026-08-05,42.0,31.0,27,20,Approved,2026-07-21,1916 Paint and Coatings Manufacturing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/akzonobel-axalta,21 Jul 2026: AkzoNobel - Axalta - Phase 1 determination,,,,2026-07-22T09:53:19+10:00,2026-08-11T01:56:49.469233Z
"Coles - supermarket site in Palmwoods, QLD",Waiver,WA-75030,COLES GROUP PROPERTY DEVELOPMENTS LTD; 72 004 428 326,Neubau Holdings No 22 Pty Ltd; 20 122 754 496,Supermarkets and Grocery Retail,COLES GROUP LIMITED; 11 004 089 936,2026-06-24,Waiver application,Assessment completed,,,,28,21,Approved,2026-07-22,4110 Supermarket and Grocery Stores,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/coles-supermarket-site-in-palmwoods-qld,22 Jul 2026: Notification waiver determination published,,,,2026-08-04T17:17:55+10:00,2026-08-11T01:56:49.469233Z
Vets Central - Gold Coast Veterinary Surgery,Waiver,WA-55026,VC OPERATIONS (WA) PTY LTD; 28 646 499 005,Ingwe Consulting Pty Ltd; 83 121 308 503,Professional Services; Other Services,VETS CENTRAL HOLDINGS PTY LTD; 60 652 812 256,2026-06-23,Waiver application,Assessment completed,,,,10,9,Approved,2026-07-03,6970 Veterinary Services; 9539 Other Personal Services n.e.c.,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/vets-central-gold-coast-veterinary-surgery,3 Jul 2026: Notification waiver determination published,,,,2026-07-03T16:54:25+10:00,2026-08-11T01:56:49.469233Z
Coles – supermarket site in Coffs Harbour (NSW),Notification,MN-70022,COLES SUPERMARKETS AUSTRALIA PTY LTD; 45 004 189 708,H.A. Bachrach (Nom) Pty Ltd; 005 026 326,Supermarkets and Grocery Retail,,2026-06-23,Phase 1 - initial assessment,Assessment completed,2026-08-04,42.0,31.0,21,16,Approved,2026-07-14,4110 Supermarket and Grocery Stores,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/coles-%E2%80%93-supermarket-site-in-coffs-harbour-nsw,14 Jul 2026: Coles - supermarket site in Coffs Harbour (NSW) - Phase 1 determination,,,,2026-07-14T16:15:12+10:00,2026-08-11T01:56:49.469233Z
Autodesk - MaintainX,Notification,MN-60022,"Autodesk, Inc.","MaintainX, Inc.",Technology and Software; Professional Services,,2026-06-23,Phase 1 - initial assessment,Assessment completed,2026-08-04,42.0,31.0,22,17,Approved,2026-07-15,5420 Software Publishing; 7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/autodesk-maintainx,15 Jul 2026: Autodesk - MaintainX - Phase 1 Determination,,,,2026-07-15T15:37:10+10:00,2026-08-11T01:56:49.469233Z
Vets Central – Willunga & Aldinga Veterinary Services,Waiver,WA-45020,VC OPERATIONS (WA) PTY LTD; 28 646 499 005,Willunga Veterinary Hospital Pty Ltd; 17 123 795 899,Professional Services; Other Services,VC HAMILTON WA PTY LTD; 695 874 929; VETS CENTRAL PTY LTD; 25 646 462 973,2026-06-23,Waiver application,Assessment completed,,,,24,19,Approved,2026-07-17,6970 Veterinary Services; 9539 Other Personal Services n.e.c.,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/vets-central-%E2%80%93-willunga-aldinga-veterinary-services,17 Jul 2026: Notification waiver determination published,,,,2026-07-17T16:40:57+10:00,2026-08-11T01:56:49.469233Z
"Endeavour Group - retail liquor site in Avalon, NSW",Notification,MN-50027,ENDEAVOUR GROUP LIMITED; 77 159 767 843,AVALON DM PTY LTD; 61 691 733 150,Supermarkets and Grocery Retail,,2026-06-22,Phase 1 - initial assessment,Assessment completed,2026-08-03,42.0,31.0,21,16,Approved,2026-07-13,4123 Liquor Retailing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/endeavour-group-retail-liquor-site-in-avalon-nsw,"13 Jul 2026: Endeavour Group - retail liquor site in Avalon, NSW",,,,2026-07-13T17:43:16+10:00,2026-08-11T01:56:49.469233Z
Blackstone – Acacium Group,Waiver,WA-95029,Blackstone Alternative Credit Advisors LP; CRD - 137519,Acacium Group Limited; Registration number: 131725,Asset Management and Investment; Financial Advisory and Broking; Business Services,,2026-06-22,Waiver application,Assessment completed,,,,16,13,Approved,2026-07-08,6240 Financial Asset Investing; 6419 Other Auxiliary Finance and Investment Services; 7211 Employment Placement and Recruitment Services; 7212 Labour Supply Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/blackstone-%E2%80%93-acacium-group,8 Jul 2026: Notification waiver determination published,,,,2026-07-08T16:59:26+10:00,2026-08-11T01:56:49.469233Z
Regis Resources - Vault Minerals,Notification,MN-65020,REGIS RESOURCES LIMITED; 28 009 174 761,VAULT MINERALS LIMITED; 73 068 647 610,Mining,,2026-06-22,Phase 1 - initial assessment,Assessment ceased,2026-08-03,42.0,31.0,,,,,0803 Copper Ore Mining; 0804 Gold Ore Mining; 0807 Silver-Lead-Zinc Ore Mining,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/regis-resources-vault-minerals,16 Jul 2026: Consideration of Notification ceased - following written request from notifying party,,,,2026-07-16T19:36:41+10:00,2026-08-11T01:56:49.469233Z
Blackbird Ventures – Baseten Labs,Waiver,WA-45019,Blackbird HP Pty Ltd; 621 829 534; Blackbird FSA Pty Ltd; 692 309 032; Blackbird Guardians Coinvestment Pty Ltd; 662 556 005; Blackbird Hotham Pty Ltd; 663 838 864; Blackbird Purple Pty Ltd; 44 637 190 599; Blackbird CB Pty Limited; 697 959 701; Blackbird Aware Pty Limited; 623 194 383; Blackbird Southern Land Pty Ltd; 640 535 208,"Baseten Labs, Inc.; EIN 37-1950658",Manufacturing; Technology and Software; Media and Entertainment; Professional Services,BLACKBIRD VENTURES PTY LTD; 93 159 044 989,2026-06-19,Waiver application,Assessment completed,,,,26,19,Approved,2026-07-15,2461 Agricultural Machinery and Equipment Manufacturing; 5420 Software Publishing; 5700 Internet Publishing and Broadcasting; 6910 Scientific Research Services; 7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/blackbird-ventures-%E2%80%93-baseten-labs-0,15 Jul 2026: Notification waiver determination published,,,,2026-07-15T17:12:33+10:00,2026-08-11T01:56:49.469233Z
"Australian Venue Co – assets of Café Kinetic, Flinders Lane Melbourne CBD",Waiver,WA-65024,AVC OPERATIONS PTY LIMITED; 81 607 832 299,LOFISKO PTY LTD as trustee for the STAN MIHAILIDIS FAMILY TRUST; 628 238 022; BLACK TREE GROUP PTY LTD as trustee for the BLACK TREE TRUST; 122 060 093,Accommodation and Hospitality,Australian Venue Co. Holdings Limited,2026-06-19,Waiver application,Assessment completed,,,,18,13,Approved,2026-07-07,"4511 Cafes and Restaurants; 4520 Pubs, Taverns and Bars",https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/australian-venue-co-%E2%80%93-assets-of-caf%C3%A9-kinetic-flinders-lane-melbourne-cbd,7 Jul 2026: Notification waiver determination published,,,,2026-07-07T17:03:38+10:00,2026-08-11T01:56:49.469233Z
Genea - Care Fertility Greenslopes,Notification,MN-01104,GENEA PTY LTD; 82 002 844 448,CARE FERTILITY GREENSLOPES PTY LTD; 11 128 331 797,Aged Care,,2026-06-19,Phase 1 - initial assessment,Assessment completed,2026-07-31,42.0,31.0,34,25,Approved,2026-07-23,8512 Specialist Medical Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/genea-care-fertility-greenslopes,23 Jul 2026: Genea - Care Fertility Greenslopes - Phase 1 Determination,,,,2026-07-23T12:29:08+10:00,2026-08-11T01:56:49.469233Z
Bertelsmann Music Group - Concord,Notification,MN-75023,"Bertelsmann SE & Co. KGaA; HRB 9194; Axton Holdings, LLC; CRN: 7039521","BMG LP [New MusicCo]; BMG Rights Management (US), LLC; 4645458; Alchemy Copyrights LLC; Company Number: 5614268; Reinhard Mohn Nederland B.V. (formerly ROW HoldCo B.V.); Company Number: 42027204",Media and Entertainment,,2026-06-18,Phase 1 - initial assessment,Assessment completed,2026-07-30,42.0,31.0,22,17,Approved,2026-07-10,5521 Music Publishing; 5522 Music and Other Sound Recording Activities,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/bertelsmann-music-group-concord,10 Jul 2026: Bertelsmann Music Group - Concord - Phase 1 Determination,,,,2026-07-10T15:01:16+10:00,2026-08-11T01:56:49.469233Z
Oaktree – Vivax Metrotech,Waiver,WA-20026,"Vector JV Bidco, Inc.; 10619273",Vivax Metrotech Sdn. Bhd.; 202401054941; Vivax-Metrotech Ltd.; 08253003; Vivax-Metrotech SAS; 799092002; Metrotech Vertriebs GmbH; Vivax (Asia) Ltd; 31003708; AMI Holding GmbH; VXMT Corporation; 2066184,Manufacturing; Asset Management and Investment,"Oaktree Capital Holdings, LLC; 7315698; Brookfield Corporation; 890126527",2026-06-18,Waiver application,Assessment completed,,,,18,13,Approved,2026-07-06,2419 Other Professional and Scientific Equipment Manufacturing; 6240 Financial Asset Investing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/oaktree-%E2%80%93-vivax-metrotech,6 Jul 2026: Notification waiver determination,,,,2026-07-06T17:14:54+10:00,2026-08-11T01:56:49.469233Z
Siemens Energy – Camlin Group,Waiver,WA-60023,Siemens Energy Limited; UK company number - 00631825,Camlin Limited; UK company number - NI073204; Camlin (Australia) Pty Ltd,Energy and Utilities,,2026-06-18,Waiver application,Assessment completed,,,,18,13,Approved,2026-07-06,2619 Other Electricity Generation; 2620 Electricity Transmission,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/siemens-energy-%E2%80%93-camlin-group,6 Jul 2026: Notification waiver determination published,,,,2026-07-06T16:57:59+10:00,2026-08-11T01:56:49.469233Z
Mitsubishi Estate Asia – Eynesbury Properties,Waiver,WA-35026,MECO Eynesbury Pty Limited,EYNESBURY WYNDHAM PTY LTD; 38 635 954 086; Eynesbury AK2 Pty Ltd atf Eynesbury AK2 Trust; 635 946 995; Eynesbury AK1 Pty Ltd atf Eynesbury AK1 Trust; 635 945 498; EYNESBURY TOWNSHIP PTY LTD; 40 635 948 873; EYNESBURY GREENHILL PTY LTD; 36 635 953 203,Construction and Engineering; Accommodation and Hospitality; Property and Real Estate; Gambling,"MEC OCEANIA INVESTMENT PTY LTD; 35 675 561 458; Mitsubishi Estate Co., Ltd; Resimax Group Proprietary Limited",2026-06-18,Waiver application,Assessment completed,,,,18,13,Approved,2026-07-06,"3211 Land Development and Subdivision; 4511 Cafes and Restaurants; 6711 Residential Property Operators; 6712 Non-Residential Property Operators; 9113 Sports and Physical Recreation Venues, Grounds and Facilities Operation",https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/mitsubishi-estate-asia-%E2%80%93-eynesbury-properties,6 Jul 2026: Notification waiver determination published,,,,2026-07-06T16:50:48+10:00,2026-08-11T01:56:49.469233Z
Discovery Holiday Parks – four Breeze Holiday Parks,Notification,MN-01103,DISCOVERY HOLIDAY PARKS PTY LIMITED; 50 111 782 846; Beston Parks Land Co Pty Ltd atf Beston Accommodation Parks Trust; 111 783 423,The Trustee for Katherine Park Trust; 52 233 936 018; The Trustee for THE F DAVIES FAMILY TRUST; 53 298 082 380; The Trustee for Katherine Park Holding Trust; 61 521 863 718,Accommodation and Hospitality,THE TRUSTEE FOR AUSTRALIAN RETIREMENT TRUST; 60 905 115 063; Discovery Parks Holdings Pty Limited; 61 127 847 269,2026-06-18,Phase 1 - initial assessment,Assessment completed,2026-07-30,42.0,31.0,28,21,Approved,2026-07-16,4400 Accommodation,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/discovery-holiday-parks-%E2%80%93-four-breeze-holiday-parks,16 Jul 2026: Discovery Holiday Parks - four Breeze Holiday Parks - Phase 1 determination,,,,2026-07-16T16:05:08+10:00,2026-08-11T01:56:49.469233Z
GPS Energy – Ryowa's interest in Gladstone Power Station Joint Venture,Waiver,WA-35027,GPS ENERGY PTY LIMITED; 36 063 207 456,RYOWA II GPS PTY. LIMITED; 16 063 780 058,Manufacturing; Energy and Utilities,GPS POWER PTY. LIMITED; 34 009 103 422; RIO TINTO LIMITED; 96 004 458 404; RIO TINTO ALUMINIUM LIMITED; 51 009 679 127; RIO TINTO ALUMINIUM (HOLDINGS) LIMITED; 37 004 502 694; Boyne Smelters Limited,2026-06-17,Waiver application,Assessment completed,,,,13,10,Approved,2026-06-30,2132 Aluminium Smelting; 2611 Fossil Fuel Electricity Generation,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/gps-energy-%E2%80%93-ryowas-interest-in-gladstone-power-station-joint-venture,30 Jun 2026: Notification waiver determination published,,,,2026-06-30T16:41:56+10:00,2026-08-11T01:56:49.469233Z
Adbri - Eureka Concrete,Notification,MN-50021,ADBRI PTY LIMITED; 15 007 596 018,Eureka Concrete (Holdings) Pty. Ltd.; 14 005 232 342,Manufacturing,E.B. MAWSON & SONS PROPRIETARY LIMITED; 14 004 519 617; HY-TEC INDUSTRIES (VICTORIA) PTY LTD; 43 096 310 520; INDEPENDENT CEMENT AND LIME PTY. LIMITED; 49 005 829 550; CENTRAL PRE-MIX CONCRETE PTY. LTD.; 62 008 070 862,2026-06-17,Phase 1 - initial assessment,Assessment completed,2026-07-29,42.0,31.0,22,17,Approved,2026-07-09,2033 Ready-Mixed Concrete Manufacturing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/adbri-eureka-concrete,9 Jul 2026: Adbri - Eureka Concrete - Phase 1 determination,,,,2026-07-10T08:24:45+10:00,2026-08-11T01:56:49.469233Z
Warburg Pincus – JSB,Waiver,WA-10019,Ursa 4 Kabushiki Kaisha (Japan); 0100-01-265801,"J.S.B. Co., Ltd.; 1300-01-017499",Accommodation and Hospitality; Property and Real Estate,Warburg Pincus LLC; 2097098; J.S.B. AUS PTY LTD; 698 489 566,2026-06-17,Waiver application,Assessment completed,,,,8,7,Approved,2026-06-25,4400 Accommodation; 6711 Residential Property Operators,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/warburg-pincus-%E2%80%93-jsb,25 Jun 2026: Notification waiver determination published,,,,2026-06-25T18:32:49+10:00,2026-08-11T01:56:49.469233Z
Bain Capital – FDH,Waiver,WA-25033,"BCPE Lightning Buyer, Inc.; US incorporation number - 10644291","FDH Group Intermediate Holdings, LP; US incorporation number - 6336375; FDH Group Intermediate, Inc.; US incorporation number - 6310370; FDH Defense Aftermarket, Inc.; US incorporation number - 6267156",Automotive Manufacturing; Asset Management and Investment,"Bain Capital Investors, LLC; US incorporation number - 3229725; Audax Management Company, LLC; US incorporation number - 3047055",2026-06-17,Waiver application,Assessment completed,,,,8,7,Approved,2026-06-25,2394 Aircraft Manufacturing and Repair Services; 6240 Financial Asset Investing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/bain-capital-%E2%80%93-fdh,25 Jun 2026: Notification waiver determination published,,,,2026-06-25T18:30:45+10:00,2026-08-11T01:56:49.469233Z
